0.267842	0.278828	0.459744	0.770556	0.47044	0.875435	0.39932	0.607889	0.339494	0.387516	1
0.280637	0.269376	0.417179	0.77	0.473977	0.869744	0.388435	0.689144	0.287132	0.439857	1
0.290873	0.264965	0.388718	0.726667	0.462102	0.871641	0.44966	0.679703	0.383641	0.407997	1
0.305516	0.255986	0.363077	0.686111	0.447701	0.893456	0.451361	0.704316	0.4295	0.44896	1
0.307791	0.261657	0.338974	0.6525	0.439869	0.889662	0.459524	0.709373	0.41718	0.481795	1
0.29002	0.277883	0.348462	0.644444	0.439363	0.901043	0.45068	0.674309	0.36345	0.485371	1
0.545778	0.195967	0.380513	0.283611	0.418393	0.62504	0.745238	0.713419	0.742984	0.560143	1
0.50526	0.209515	0.37	0.3025	0.457554	0.681948	0.739796	0.705664	0.654004	0.494473	1
0.476969	0.210618	0.378462	0.325278	0.498989	0.726209	0.717347	0.697235	0.604723	0.445384	1
0.471425	0.198803	0.388974	0.349167	0.496716	0.741385	0.688435	0.708699	0.567077	0.460338	1
0.449389	0.210933	0.397179	0.381111	0.55811	0.757825	0.656463	0.717465	0.542094	0.418075	1
0.393802	0.230781	0.428974	0.462222	0.641233	0.781537	0.657143	0.692515	0.550308	0.362809	1
0.587717	0.281191	0.123333	0.476111	0.389843	0.884603	0.553061	0.90998	0.323066	0.537386	1
0.596958	0.281979	0.114359	0.480278	0.377211	0.886816	0.536735	0.912677	0.316906	0.561443	1
0.607051	0.285602	0.119744	0.478611	0.365841	0.864053	0.532313	0.943021	0.335729	0.58225	1
0.604208	0.281664	0.137436	0.4925	0.365589	0.863421	0.538776	0.954821	0.336413	0.576723	1
0.581177	0.266068	0.136667	0.547778	0.419909	0.891243	0.531973	0.980108	0.357632	0.54844	1
0.541797	0.250473	0.152051	0.621944	0.476251	0.908631	0.523809	0.997977	0.37577	0.51788	1
0.511373	0.245904	0.331282	0.321389	0.472461	0.659817	0.618367	0.738705	0.616359	0.408648	1
0.538243	0.241021	0.347949	0.3125	0.437847	0.660449	0.626871	0.73702	0.645106	0.423277	1
0.543503	0.234562	0.354359	0.309444	0.438858	0.669617	0.643878	0.711059	0.651951	0.423927	1
0.534689	0.232042	0.348718	0.313333	0.443406	0.671198	0.648299	0.724208	0.655715	0.421001	1
0.528291	0.219124	0.346923	0.322222	0.443911	0.670882	0.641156	0.723871	0.659138	0.423927	1
0.52232	0.207467	0.349231	0.332222	0.44189	0.664243	0.635034	0.729265	0.652293	0.4184	1
0.297555	0.256774	0.734359	0.793333	0.756695	0.392981	0.211565	0.251854	0.334018	0.601105	1
0.282485	0.27741	0.848462	0.759167	0.72764	0.375593	0.190816	0.24646	0.384668	0.602081	1
0.296133	0.244802	0.882564	0.7425	0.72764	0.402466	0.236735	0.261632	0.390144	0.546164	1
